"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL4297905";"OSOCIMAB";"BAY 1213790|BAY-1213790|BAY1213790|OSOCIMAB";"Antibody";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1201638";"INSULIN SUSP PROTAMINE ZINC PURIFIED PORK";"INSULIN SUSP PROTAMINE ZINC PURIFIED PORK|Insulin susp protamine zinc purified pork|PROTAMINE ZINC AND ILETIN II (PORK)";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SEQ";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1275";"PERGOLIDE MESYLATE";"CELANCE|LY 127809|LY-127809|NSC-319773|NSC-758442|PERGOLIDE MESILATE|PERGOLIDE MESYLATE|PERGOLIDE METHANESULFONATE|Permax";"Small molecule";"4.0";"410.61";"39";"87";"4.27";"19.03";"2";"1";"0";"4";"N";"0.91";"None";"9.49";"4.23";"2.15";"2";"MOL";"0";"22";"2";"1";"0";"314.1817";"0.61";"BASE";"C20H30N2O3S2";"CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.CS(=O)(=O)O";"UWCVGPLTGZWHGS-ZORIOUSZSA-N"
"CHEMBL487";"DROLOXIFENE";"3-HYDROXYTAMOXIFEN|DROLOXIFENE|Droloxifene|E-Droloxifene|FK-435|K-060|K-21060E|K060|K060E";"Small molecule";"3.0";"387.52";"10";"37";"5.70";"32.70";"3";"1";"1";"8";"N";"0.50";"9.43";"8.66";"5.69";"4.67";"3";"MOL";"0";"29";"3";"1";"1";"387.2198";"-0.23";"BASE";"C26H29NO2";"CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1";"ZQZFYGIXNQKOAV-OCEACIFDSA-N"
"CHEMBL1201051";"CIMETIDINE HYDROCHLORIDE";"CIMETIDINE HCL|CIMETIDINE HYDROCHLORIDE|Tagamet";"Small molecule";"4.0";"288.81";"";"";"0.60";"88.89";"4";"3";"0";"5";"N";"0.23";"13.38";"6.91";"-0.11";"-0.22";"1";"MOL";"0";"17";"6";"3";"0";"252.1157";"-1.18";"NEUTRAL";"C10H17ClN6S";"CN/C(=N\CCSCc1nc[nH]c1C)NC#N.Cl";"QJHCNBWLPSXHBL-UHFFFAOYSA-N"
"CHEMBL2108290";"EPOETIN THETA";"EPOETIN THETA|EPORATIO";"Protein";"4.0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";"";"";""
"CHEMBL1200497";"CYCLIZINE LACTATE";"CYCLIZINE LACTATE|Marezine";"Small molecule";"4.0";"356.47";"";"";"3.02";"6.48";"2";"0";"0";"3";"N";"0.84";"None";"8.20";"3.55";"2.68";"2";"MOL";"0";"20";"2";"0";"0";"266.1783";"-0.90";"NEUTRAL";"C21H28N2O3";"CC(O)C(=O)O.CN1CCN(C(c2ccccc2)c2ccccc2)CC1";"JOROEVAWQLGPFQ-UHFFFAOYSA-N"
"CHEMBL257978";"DABUZALGRON";"Dabuzalgron|Ro 115-1240|Ro-115-1240";"Small molecule";"2.0";"317.80";"4";"5";"1.40";"79.79";"5";"2";"0";"5";"N";"0.86";"9.65";"9.03";"-0.06";"-1.27";"1";"MOL";"0";"20";"6";"2";"0";"317.0601";"-1.04";"BASE";"C12H16ClN3O3S";"Cc1c(OCC2=NCCN2)ccc(Cl)c1NS(C)(=O)=O";"FOYWMEJSRSBQGB-UHFFFAOYSA-N"
"CHEMBL452461";"PERZINFOTEL";"EAA-090|PERZINFOTEL";"Small molecule";"2.0";"260.19";"13";"40";"-0.92";"106.94";"5";"3";"0";"3";"N";"0.48";"1.79";"None";"-2.21";"-4.57";"1";"MOL";"0";"17";"7";"3";"0";"260.0562";"0.17";"ACID";"C9H13N2O5P";"O=c1c2c(c1=O)N(CCP(=O)(O)O)CCCN2";"BDABGOLMYNHHTR-UHFFFAOYSA-N"
"CHEMBL1200774";"FLUPREDNISOLONE";"Alphadrol|FLUPREDNISOLONE|NSC-47439|U-7800";"Small molecule";"4.0";"378.44";"3";"10";"1.51";"94.83";"5";"3";"0";"2";"N";"0.68";"12.58";"None";"0.93";"0.93";"0";"MOL";"0";"27";"5";"3";"0";"378.1843";"2.33";"NEUTRAL";"C21H27FO5";"C[C@]12C=CC(=O)C=C1[C@@H](F)C[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO";"MYYIMZRZXIQBGI-HVIRSNARSA-N"
